 ,selection sort,,,bubble sort,,,insertion sort,,,shell sort,,,merge sort,,,quick sort,,
,Time,Data Comparisons,Data Swaps,Time,Data Comparisons,Data Swaps,Time,Data Comparisons,Data Swaps,Time,Data Comparisons,Data Swaps,Time,Data Comparisons,Data Swaps,Time,Data Comparisons,Data Swaps
Random 250,0.005072593688964844,31125,243,0.033559322357177734,59760,14800,0.021720409393310547,15050,14800,0.001965045928955078,1506,1047,0.006786823272705078,1674,1994,0.004204511642456055,2132,1203
Random 500,0.17029285430908203,124750,492,0.3597733974456787,229041,60384,0.08311843872070312,60884,60384,0.0017769336700439453,3506,2566,0.0029916763305664062,3877,4488,0.002270221710205078,5278,3252
Random 1000,0.08050966262817383,499500,987,0.8804564476013184,964035,238804,0.23497557640075684,239804,238804,0.010212898254394531,8006,5808,0.014253616333007812,8722,9976,0.009038686752319336,13082,9462
Ascending 250,0.0070459842681884766,31125,0,0.0,249,0,0.0,250,0,0.0009946823120117188,1506,0,0.001994609832763672,1084,1994,0.022388935089111328,31125,31125
Ascending 500,0.03538250923156738,124750,0,0.0009965896606445312,499,0,0.0,500,0,0.0010614395141601562,3506,0,0.0030374526977539062,2522,4488,0.08118343353271484,124750,124750
Ascending 1000,0.14640116691589355,499500,0,0.0,999,0,0.0009984970092773438,1000,0,0.0019943714141845703,8006,0,0.008128881454467773,5775,9976,0.349445104598999,499500,499500
Descending 250,0.007042884826660156,31125,162,0.03549671173095703,61503,30814,0.0302278995513916,31064,30814,0.0009944438934326172,1506,805,0.0020821094512939453,1011,1994,0.009038448333740234,13133,8376
Descending 500,0.04848313331604004,124750,323,0.19554424285888672,248502,123520,0.09329390525817871,124020,123520,0.0021452903747558594,3506,1717,0.0029904842376708984,2272,4488,0.02738475799560547,52233,39594
Descending 1000,0.13036751747131348,499500,698,0.6916303634643555,990009,494448,0.29693031311035156,495448,494448,0.004112958908081055,8006,3544,0.0060007572174072266,5044,9976,0.07292675971984863,145539,121761
